id	text
en-SA_438	From what age is an individual allowed to work in Saudi Arabia? (Provide Arabic numerals (e.g., 12) only.)
en-SA_439	What do people in Saudi Arabia traditionally eat on Christmas Day?
en-SA_440	What is the name of the day of the year where people in Saudi Arabia celebrate love and romance?
en-SA_441	What is the most popular Christmas song in Saudi Arabia?
en-SA_442	How many terms are there each academic year at secondary schools in Saudi Arabia? (Provide in Arabic numerals (e.g., 7, 8) only.)
en-SA_443	In which month does the new school year typically begin in Saudi Arabia? (Provide Arabic numerals (1~12) only.)
en-SA_444	When is National Teacher's Day commemorated in Saudi Arabia? (Provide in MM/DD format (e.g., 12/31).)
en-SA_445	At what time does primary school start in Saudi Arabia? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-SA_446	When is Children's Day celebrated in Saudi Arabia? (Provide in MM/DD format (e.g., 12/31).)
en-SA_447	Which city is the main destination for job seekers in Saudi Arabia?
en-SA_448	What is Saudi Arabia's most popular fast food chain?
en-SA_449	What is the food that is most divisive (either love or hate) in Saudi Arabia?
en-SA_450	What is the most popular football team among the people from Saudi Arabia?
en-SA_451	What is the most famous university in Saudi Arabia known for its sports team?
en-SA_452	What is Saudi Arabia's most popular family pet?
en-SA_453	What is the most popular family TV show in Saudi Arabia?
en-SA_454	What is the most popular family boardgame in Saudi Arabia?
en-SA_455	What is the most popular takeaway food in Saudi Arabia?
en-SA_456	What are popular snacks in Saudi Arabia?
en-SA_457	What do people from Saudi Arabia eat at the beach?
en-SA_458	At what age do men usually get married in Saudi Arabia? (Provide Arabic numerals (e.g., 20) only.)
en-SA_459	At what age do women usually get married in Saudi Arabia? (Provide Arabic numerals (e.g., 20) only.)
en-SA_460	In your parents' generation, what was the average number of members in their family in Saudi Arabia? (Provide Arabic numerals (e.g., 20) only.)
en-SA_461	In the Olympic Games, which sport is the most popular in Saudi Arabia?
en-SA_462	Where do children usually play football in Saudi Arabia?
en-SA_463	Which daily exercise is popular among women in Saudi Arabia?
en-SA_464	Which daily exercise is popular among men in Saudi Arabia?
en-SA_465	What is the most famous rivalry in a national sports league in Saudi Arabia? (e.g., ___ vs ___)
en-SA_466	Which professional sport is the highest paying in Saudi Arabia?
en-SA_467	What is/was the most popular sports-related TV programme in Saudi Arabia?
en-SA_468	What day of the year is usually dedicated to fireworks in Saudi Arabia?
en-SA_469	What is the common symbol of New Year's Eve that is usually found in Saudi Arabia?
en-SA_470	What food do people from Saudi Arabia usually eat on New Year's Eve?
en-SA_471	What is usually eaten during the celebration of the longest night of the year in Saudi Arabia?
en-SA_472	What is the most popular summer sport in Saudi Arabia?
en-SA_473	What is the most popular professional sports league in Saudi Arabia?
en-SA_474	What is the most popular women's sports team in Saudi Arabia?
en-SA_475	What is the most popular tournament in Saudi Arabia?
en-SA_476	Who is the most popular sportperson in Saudi Arabia?
en-SA_477	In which sport has Saudi Arabia been most successful in international competitions?
en-SA_478	What is the most popular winter sport in Saudi Arabia?
en-SA_479	What is a city or region in Saudi Arabia known for manufacturing industry?
en-SA_480	What is regarded as the most important perk typically offered to employees in Saudi Arabia?
en-SA_481	What was the most catastrophic economic period for Saudi Arabia?
en-SA_482	What region in Saudi Arabia is a major hub for tech workers and start ups?
en-SA_483	What is the most important industry in Saudi Arabia?
en-SA_484	Which one of the daily meals is commonly shared with family members in Saudi Arabia? (e.g., breakfast, lunch, dinner)
en-SA_485	What is a popular family activity to do at the weekend with children in Saudi Arabia?
en-SA_486	At what age do children typically become independent from their parents in Saudi Arabia? (Provide Arabic numerals (e.g., 12) only.)
en-SA_487	What is the most important family holiday in Saudi Arabia?
en-SA_488	What is a popular family game in Saudi Arabia?
en-SA_489	What is the average age for couples to have their first child in Saudi Arabia? (Provide Arabic numerals (e.g., 20) only.)
en-SA_490	How many cars are owned by a typical family in Saudi Arabia? (Provide Arabic numerals (e.g., 12) only.)
en-SA_491	What is Saudi Arabia's most popular food for family meals on weekends?
en-SA_492	What is the most popular weekday evening family activity in Saudi Arabia?
en-SA_493	What is the highest grade given to top-achieving secondary school students on assignments and exams in Saudi Arabia?
en-SA_494	What is considered the most important exam for secondary school students in Saudi Arabia?
en-SA_495	Which subject is considered the most important for students in Saudi Arabia?
en-SA_496	What is the most popular extracurricular social event at schools in Saudi Arabia?
en-SA_497	What is the most advanced maths subject learned before university in Saudi Arabia?
en-SA_498	Where do university students in Saudi Arabia usually go to study for their final exams?
en-SA_499	What is a common public transport that people use to go to university in Saudi Arabia?
en-SA_500	What do primary school students in Saudi Arabia usually do after school?
en-AS_001	What is a common snack for preschool kids in Assam?
en-AS_002	What is a popular food to go with beer in Assam?
en-AS_003	What is the most popular fruit in Assam?
en-AS_004	What is a common school cafeteria food in Assam?
en-AS_005	What are the most commonly eaten snacks at shopping malls in Assam?
en-AS_006	What is a popular snack at an amusement park in Assam?
en-AS_007	At what age do kids start preschool in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_008	What is a popular afterschool sport for elementary schools in Assam?
en-AS_009	For which subject do elementary students get private education in Assam?
en-AS_010	What is a popular second language for high school students in Assam?
en-AS_011	Which subject is the most important for gifted education in Assam?
en-AS_012	What is the main dish for Thanksgiving in Assam?
en-AS_013	What do people do to celebrate Halloween in Assam?
en-AS_014	What do people do to celebrate New Year's Day in Assam?
en-AS_015	What do people do to celebrate Christmas in Assam?
en-AS_016	What food is associated with Halloween in Assam?
en-AS_017	What food is associated with Christmas in Assam?
en-AS_018	What food is associated with Valentine's day in Assam?
en-AS_019	What do people eat on their birthday in Assam?
en-AS_020	What is a popular outdoor place for families to have fun with little kids in Assam?
en-AS_021	What is a popular indoor activity for families in Assam?
en-AS_022	Where do university students have lunch in Assam?
en-AS_023	Which month is the final exam term usually scheduled at high schools in Assam? (Provide Arabic numerals (1~12) only.)
en-AS_024	How many hours a day do students in Assam usually spend at high school? (Provide Arabic numerals in integers (0~24), without any decimal points.)
en-AS_025	How many languages do students study at high school in Assam? (Provide Arabic numerals (e.g., 5) only.)
en-AS_026	What is the most popular sport played in a team at school in Assam?
en-AS_027	Who is the most popular sport commentator in Assam?
en-AS_028	What is the most popular sport team in Assam?
en-AS_029	What are the common places or venues where individuals in Assam usually gather to watch sports broadcasts?
en-AS_030	How many meals per day do people from Assam usually have? (Provide Arabic numerals (e.g., 5) only.)
en-AS_031	Which is the most important meal of the day to people from Assam?
en-AS_032	What is the most common ingredient used in Assam's diet?
en-AS_033	What do people from Assam usually eat for dessert?
en-AS_034	Which day of the week do people usually organize a family meal in Assam?
en-AS_035	Which is the most popular hot drink in Assam?
en-AS_036	What do young people from Assam usually drink at the night club?
en-AS_037	At which month do people usually take holidays in Assam? (Provide Arabic numerals (1~12) only.)
en-AS_038	What tradition is there in Assam for New Year's Eve?
en-AS_039	Which is the typical type of house for a family in Assam?
en-AS_040	Where do the dependent elderly usually live in Assam?
en-AS_041	How long (in weeks) is Assam's maternity leave for mums? (Provide Arabic numerals (e.g., 20) only.)
en-AS_042	How long (in weeks) is Assam's paternity leave for dads? (Provide Arabic numerals (e.g., 20) only.)
en-AS_043	What type of destination is commonly chosen for a family vacation in Assam?
en-AS_044	What sports do seniors like the most in Assam?
en-AS_045	What sports do men like to play the most in Assam?
en-AS_046	Who is the most famous basketball player in Assam?
en-AS_047	What is the most popular sports among children in Assam?
en-AS_048	What sports do women like to play the most in Assam?
en-AS_049	What sports event has Assam won the most gold medals at the Olympics?
en-AS_050	What sports do male students in university like to play the most in Assam?
en-AS_051	How many people are there in a family on average in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_052	How many children do couples usually have in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_053	What is the duration of elementary school in years in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_054	What is the duration of compulsory education in years in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_055	From which age do students start learning their second language in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_056	What is the duration of undergraduate education in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_057	What time do younger elementary school students finish school in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_058	How many musical instruments do elementary school students in Assam typically play? (Provide Arabic numerals (e.g., 12) only.)
en-AS_059	What day of the week do people in Assam prefer to have company dinners?
en-AS_060	Which region/city has the highest number of financial companies in Assam?
en-AS_061	What is the most famous private company in Assam?
en-AS_062	What is the maximum number of hours one can work per week in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_063	What do people typically eat during company get-together in Assam?
en-AS_064	What is the representative export item of Assam?
en-AS_065	How long (in hours) is the typical lunch break in Assam? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
en-AS_066	Where do mothers stay for a certain period after childbirth for recovery in Assam?
en-AS_067	What is Assam's most commonly given flower on Parents' Day?
en-AS_068	What do people especially spend their first salary on in Assam's society?
en-AS_069	What is the most preferred recreational facility among children in Assam?
en-AS_070	What are the family-related holidays in Assam?
en-AS_071	What are the key milestones associated with children's independence from their parents in Assam's society?
en-AS_072	What is the common gift you give when visiting elderly parents in Assam?
en-AS_073	When is the first day that people celebrate after a child is born in Assam?
en-AS_074	Which age's birthday is celebrated the most grandly in Assam's society?
en-AS_075	Where do middle and high school students in Assam usually study for exams?
en-AS_076	Where do high school students in Assam usually go after dinner?
en-AS_077	How do elementary school students in Assam go to school?
en-AS_078	What is the most common form of private education in Assam?
en-AS_079	Which subject’s academy/private educational institute do middle or high students most frequently attend in Assam?
en-AS_080	What type of clothing do middle and high school students wear to school in Assam?
en-AS_081	Which major is considered the most difficult to gain admission to in Assam?
en-AS_082	What is the most commonly learned musical instrument by elementary school students in Assam?
en-AS_083	What do high school students typically do during break time in schools in Assam?
en-AS_084	What kind of shoes do students wear in schools in Assam?
en-AS_085	What are the required subjects in Assam's university entrance exam?
en-AS_086	Which region (within a city) in Assam has the highest academic fervor?
en-AS_087	What do people look forward to the most at university festivals in Assam?
en-AS_088	What is the second most popular sport in Assam?
en-AS_089	What is the most popular sport played without a ball in Assam?
en-AS_090	What sports are most associated with the upper class in Assam?
en-AS_091	What is the most popular water sport in Assam?
en-AS_092	What is the most popular mental sport in Assam?
en-AS_093	How many holiday days per year does a standard worker gets in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_094	What region in Assam has been traditionally associated with agriculture?
en-AS_095	What time, if any, do people usually leave work for lunch in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_096	What time do high school students tend to leave school in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_097	What sport do elementary school students tend to practice at school in Assam?
en-AS_098	How long (in weeks) are summer vacations at elementary schools in Assam? (Provide in Arabic numerals (e.g., 7, 8) only.)
en-AS_099	How long (in weeks) are summer vacations at universities in Assam? (Provide in Arabic numerals (e.g., 7, 8) only.)
en-AS_100	At what age does elementary education begin in Assam? (Provide in Arabic numerals (e.g., 7, 8) only.)
en-AS_101	How many languages are studied in elementary education besides Assam's official language? (Provide in Arabic numerals (e.g., 7, 8) only.)
en-AS_102	What eating utensils do people commonly used in Assam?
en-AS_103	What soft drink do people in Assam like to have?
en-AS_104	What is the most popular traditional alcohol in Assam?
en-AS_105	How long (in hours) on average does it take for people in Assam to have dinner at a restaurant? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
en-AS_106	What time do people usually have dinner in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_107	What kind of soup do people from Assam like to have?
en-AS_108	What street food do people from Assam like to eat?
en-AS_109	What kind of seafood do people from Assam like to eat?
en-AS_110	What is the biggest festival in Assam?
en-AS_111	What is the most commonly used public transport by people when travelling between cites in Assam?
en-AS_112	What are the specific decorations or symbols associated with the most biggest festival in Assam?
en-AS_113	What sports do women like to watch the most in Assam?
en-AS_114	What sports do men like to watch the most in Assam?
en-AS_115	What is the common leisure activity that females in their 20s in Assam engage in?
en-AS_116	What is the common leisure activity that males in their 20s in Assam engage in?
en-AS_117	How long (in hours) do people usually take a break after lunch on a weekday in Assam? (Provide Arabic numerals up to one decimal point (e.g., 2, 3.5) only.)
en-AS_118	What do people eat for lunch during the working days in Assam?
en-AS_119	What is the average commute time (in minutes) for people in Assam? (Provide Arabic numerals (e.g., 1) only.)
en-AS_120	What is the most common transportation that people take to get to work in Assam?
en-AS_121	How long (in days) is the marriage leave in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_122	What is the typical retirement age for women in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_123	What is the typical retirement age for men in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_124	Which profession is the most respected in Assam?
en-AS_125	What is the duration (in hours) of a typical workday in Assam? (Provide Arabic numerals (0~24) only.)
en-AS_126	Which occupation is most preferred among females in Assam?
en-AS_127	Which occupation is most preferred among males in Assam?
en-AS_128	On average, how far do students typically pursue their education in Assam? (e.g., elementary, high school)
en-AS_129	What language is taught in schools in Assam besides English?
en-AS_130	What days of the week are schools closed in Assam?
en-AS_131	What food do the hosts usually prepare for the guests in Assam?
en-AS_132	What is the usual drink in the breakfast in Assam?
en-AS_133	Except the food original from Assam, which country's food is more popular in Assam?
en-AS_134	What food is usually prepared for a family picnic in Assam?
en-AS_135	Which food from Assam is considered disgusting by the rest of the world?
en-AS_136	What is the name of the popular bread in Assam?
en-AS_137	What time of day are government offices closed in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_138	What is the normal start time of government offices in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_139	What national holiday has the longest duration in Assam?
en-AS_140	What are the common activities people from Assam do to celebrate Independence day?
en-AS_141	What is installed in front of the house when a family member dies in Assam?
en-AS_142	When is a pregnancy celebration or ceremony usually held in Assam?
en-AS_143	What event is usually held before a wedding in Assam?
en-AS_144	What is usually shared to the children during (Lunar) New Year in Assam?
en-AS_145	What activities are usually done days before Ramadan in Assam?
en-AS_146	What is the most popular tourist attraction for foreign visitors in Assam?
en-AS_147	What is the most popular religious sites (temple, church, etc.) for tourism in Assam?
en-AS_148	What clothes do women usually wear on graduation commencement ceremony in Assam?
en-AS_149	What drink is commonly consumed in Assam when the weather is cold?
en-AS_150	What fruit is more commonly sold and found during Ramadan in Assam?
en-AS_151	What carbohydrate is usually served with chicken in a fast-food restaurant in Assam?
en-AS_152	What is the most famous martial art sports in Assam?
en-AS_153	What sports are often broadcasted on national television in Assam?
en-AS_154	What sports were popular among people from Assam during the COVID-19 pandemic?
en-AS_155	Who is the most popular soccer coach in Assam?
en-AS_156	What soccer teams in Assam are famous for their intense rivalry? (e.g. ___ vs ___)
en-AS_157	What are the names of soccer supporters in Assam who are famous for their intense rivalry? (e.g. ___ vs ___)
en-AS_158	Who is the most famous male badminton player in Assam?
en-AS_159	Who is the most famous female badminton player in Assam?
en-AS_160	What sport gets the most support from the government in Assam?
en-AS_161	What sports field facilities are usually available at schools in Assam?
en-AS_162	What cafe beverage do people from Assam most commonly enjoy?
en-AS_163	What is the preferred hangover cure food for people from Assam?
en-AS_164	What is the typical delivery food in Assam?
en-AS_165	What type of meat is consumed most by people from Assam?
en-AS_166	What fruit do people from Assam often eat in the autumn season?
en-AS_167	What side dish is the most commonly served on a dining table in Assam?
en-AS_168	What do people from Assam eat while watching a soccer game?
en-AS_169	What is the representative nourishing food in Assam?
en-AS_170	Who is the most famous soccer player in Assam?
en-AS_171	What sports do male students enjoy during lunch time at school in Assam?
en-AS_172	What is the most common sport girls participate in during physical education classes in Assam?
en-AS_173	Who is the most popular volleyball player in Assam?
en-AS_174	What sports event do people from Assam passionately support the most in international competitions?
en-AS_175	Which country is considered the biggest rival in soccer matches for Assam?
en-AS_176	What type of sports academies do children attend the most in Assam?
en-AS_177	What is the most commonly eaten food in sports stadiums while watching games in Assam?
en-AS_178	What are the typical sports played in Assam's school sports day?
en-AS_179	What are the popular sports among the middle-aged population in Assam?
en-AS_180	Who is the most popular winter sports player in Assam?
en-AS_181	Who is the most famous swimmer in Assam?
en-AS_182	What is the most popular e-sports game in Assam?
en-AS_183	What symbolic food do people from Assam eat on (Lunar) New Year?
en-AS_184	What is the most popular domestic vacation spot for people from Assam?
en-AS_185	What is the most common wedding gift between bride and groom in Assam?
en-AS_186	What is typically given as a congratulatory gesture when attending a friend's wedding in Assam?
en-AS_187	How long (in days) does a funeral typically last in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_188	What should you prepare as a condolence offering when attending a funeral in Assam?
en-AS_189	What type of food is commonly provided at funeral parlors in Assam?
en-AS_190	What do people do in Assam in the morning of the (Lunar) New Year?
en-AS_191	When is the day with Assam's most severe nationwide traffic congestion?
en-AS_192	What is the most popular honeymoon destination in Assam?
en-AS_193	What is the most important national holiday in Assam?
en-AS_194	What do people from Assam eat in Ramadan?
en-AS_195	What do people from Assam eat in Eid ul Fitr?
en-AS_196	What do people from Assam eat in Eid ul Adha?
en-AS_197	Where do people from Assam go to celebrate New Year's Day?
en-AS_198	Where do a family gather for Eid festivities in Assam?
en-AS_199	When is the weekend in Assam (e.g. Monday, Tuesday)?
en-AS_200	At what time do most people start work in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_201	At what time do most people finish work in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_202	What is considered to be a secure job in Assam?
en-AS_203	Which city is the primary commercial hub in Assam?
en-AS_204	What is the industry that pays the best in Assam?
en-AS_205	What is the most famous public corporation in Assam?
en-AS_206	What is the most famous dish in Assam?
en-AS_207	What do people usually have for breakfast in Assam?
en-AS_208	When do people usually have lunch in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_209	What is typically indispensable in meals in Assam?
en-AS_210	What is a typical festive meal in Assam?
en-AS_211	Which fruit do people usually offer tourists/visitors from abroad in Assam?
en-AS_212	Which food do people usually offer as charity in Assam?
en-AS_213	What is the cheapest fast food in Assam?
en-AS_214	What do people usually have with tea in Assam?
en-AS_215	What do people have with coffee in Assam?
en-AS_216	What is the most popular traditional food in Assam?
en-AS_217	What is the most popular dipping sauce in Assam?
en-AS_218	What food is most often consumed during Christian fasting in Assam?
en-AS_219	What food is usually prepared when mothers give birth in Assam?
en-AS_220	Who is the most popular female sportperson in Assam?
en-AS_221	Where do most elementary school students prepare for their exams in Assam?
en-AS_222	In Assam, at which grade level do students take their first national-level examination?
en-AS_223	Which region in Assam is widely known for its coffee/tea industry?
en-AS_224	Which region in Assam is widely known for its livestock industry?
en-AS_225	What is the main occupation of people living in deserts in Assam?
en-AS_226	Which animal is typically used for transportation in Assam?
en-AS_227	What is the most popular comic book for children to read in Assam?
en-AS_228	What is the most popular YouTube channel for children in Assam?
en-AS_229	What is the most popular talk show in Assam?
en-AS_230	What is the most famous religious holiday in Assam?
en-AS_231	What is the busiest month for weddings in Assam? (Provide Arabic numerals (e.g., 1) only.)
en-AS_232	What is the most popular traditional musical instrument in Assam?
en-AS_233	What is the main agricultural product produced in Assam?
en-AS_234	What is the most popular wheat-based food item in Assam?
en-AS_235	What is the most typical drink offered to guests when they visit households in Assam?
en-AS_236	What is the most popular dish cooked with fish in Assam?
en-AS_237	What food do people from Assam like to eat during rainy weather?
en-AS_238	What drink is commonly consumed in Assam when the weather is hot?
en-AS_239	What is the most popular indoor sport in Assam?
en-AS_240	What sport do men in Assam like to watch?
en-AS_241	What sport do women in Assam like to watch?
en-AS_242	What is the most popular beverage that people from Assam like to drink in their workplace?
en-AS_243	On which holiday do all family members tend to reunite in Assam?
en-AS_244	What traditional games do families play during traditional holidays in Assam?
en-AS_245	What type of clothing do people from Assam wear during traditional festivals?
en-AS_246	What traditional festival accessories do people from Assam wear?
en-AS_247	What is the most famous region for alcohol production in Assam?
en-AS_248	What fruit do people from Assam often eat in the summer season?
en-AS_249	Which region in Assam is known for its seafood?
en-AS_250	Which region in Assam is the most popular skiing destination?
en-AS_251	Who is the most popular martial arts player in Assam?
en-AS_252	Which sport has been one of the fastest-growing in Assam over the last decade?
en-AS_253	Which country is the most popular destination for students from Assam studying abroad?
en-AS_254	How many people work in a typical family in Assam? (Provide Arabic numerals (e.g., 1) only.)
en-AS_255	In Assam, who takes care of kids when both parents are working?
en-AS_256	What is the preferred alcoholic beverage for men from Assam?
en-AS_257	What is the preferred alcoholic beverage for women from Assam?
en-AS_258	How many people on average typically attend a wedding in Assam? (Provide Arabic numerals (e.g., 1) only.)
en-AS_259	What kind of meat do people usually eat when they have barbecue in Assam?
en-AS_260	When do people usually have breakfast in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_261	What kinds of food do people usually eat for late-night snacks in Assam?
en-AS_262	What is the most famous spicy dish in Assam?
en-AS_263	What food items do people typically pair with hard liquor in Assam?
en-AS_264	What seasoning is indispensable in cooking in Assam?
en-AS_265	What food do people typically consume when the weather is cold in Assam?
en-AS_266	What is the most famous alcohol brand in Assam?
en-AS_267	What foods do people usually eat when they are sick in Assam?
en-AS_268	What prepared/ready-to-eat food do people typically buy at supermarkets in Assam?
en-AS_269	What is the most famous sports-related movie in Assam?
en-AS_270	What extreme sport do people generally wish to try the most in Assam?
en-AS_271	Which track and field event is the most popular to watch during competitions in Assam?
en-AS_272	Which gymnastics event is the most popular to watch during competitions in Assam?
en-AS_273	Who is the most famous table tennis player in Assam?
en-AS_274	In the Winter Olympics, which event is the most popular to watch in Assam?
en-AS_275	Who is the most famous boxer in Assam?
en-AS_276	Who is the most famous track and field athlete in Assam?
en-AS_277	What job do parents most hope their children will pursue in Assam?
en-AS_278	What office software do people typically use in the workplace in Assam?
en-AS_279	Which cities or regions are known for their import and export activities in Assam?
en-AS_280	What platform is commonly used in the e-commerce industry in Assam?
en-AS_281	How long is the typical probation period for new employees before signing a formal contract in Assam? (e.g., 1 month).
en-AS_282	Which industries do young people typically choose to start businesses in Assam?
en-AS_283	What is the most common way for family members to communicate remotely in Assam?
en-AS_284	What form of accommodation is typically booked for family trips in Assam?
en-AS_285	Which fruit is usually prepared the most for family dinners in Assam?
en-AS_286	How many hours of classes do university students typically have per week in Assam? (Provide Arabic numerals (e.g., 1) only.)
en-AS_287	What is the typical tuition fee per semester for public high schools in Assam?  (Provide Arabic numerals (e.g., 1) only.)
en-AS_288	What compulsory courses do university students have in common in Assam?
en-AS_289	What is the average class size in high schools in Assam? (Provide Arabic numerals (e.g., 1) only.)
en-AS_290	Which major is considered most conducive to employment in Assam?
en-AS_291	What type of clubs are most popular among university students in Assam?
en-AS_292	What types of accommodation do university students in Assam typically live in?
en-AS_293	How long is each class period for middle school students in Assam (minutes)?  (Provide Arabic numerals (e.g., 1) only.)
en-AS_294	What leisure activities do retired women typically like in Assam?
en-AS_295	What leisure activities do retired men typically like in Assam?
en-AS_296	During which holidays do people typically visit religious sites (temples, churches, etc.) in Assam?
en-AS_297	What are the typical housewarming gifts in Assam?
en-AS_298	At what time do weddings typically start in Assam? (Provide in HH:MM format (e.g., 18:00, 09:00).)
en-AS_299	Which city in Assam hosts festivals the most?
en-AS_300	What color of clothing do people typically wear when attending weddings in Assam?
en-AS_301	What color of clothing do people typically wear when attending funerals in Assam?
en-AS_302	Which snack is eaten in the cinema in Assam?
en-AS_303	What is the most popular chip/crisp flavour in Assam?
en-AS_304	Who is a popular celebrity chef in Assam?
en-AS_305	Which food is a cost-effective and quick meal option in Assam?
en-AS_306	What are the most popular cooking shows in Assam?
en-AS_307	What is the most popular chocolate brand in Assam?
en-AS_308	What is the most eaten cheese in Assam?
en-AS_309	What is the most disliked vegetable in Assam?
en-AS_310	What food is most commonly found in food courts in Assam?
en-AS_311	What are the most common cheering tools used by sports fans in Assam?
en-AS_312	What do fans bring with them when attending a live game in Assam?
en-AS_313	What is the most well known sporting stadium in Assam?
en-AS_314	Who is the most famous Paralympian in Assam?
en-AS_315	What is the best recognized sporting chant in Assam?
en-AS_316	Which industries are known for more flexible working hours in Assam?
en-AS_317	Who is the most well known and successful entrepreneur in Assam?
en-AS_318	What can typically be found in the back garden of houses in Assam?
en-AS_319	What is the name of the most famous family in Assam?
en-AS_320	What is the most common family name in Assam?
en-AS_321	Which religion is most commonly practiced by families in Assam?
en-AS_322	What is the most popular foreign language spoken by families in Assam?
en-AS_323	Which country is the most popular destination for families from Assam to emigrate to?
en-AS_324	What repercussions are there for bad behavior in schools in Assam?
en-AS_325	Which writers are commonly studied in literature class in Assam?
en-AS_326	How many school breaks are there in a year for high schools in Assam? (Provide Arabic numerals (e.g., 1) only.)
en-AS_327	Which online resource do students usually use to study in Assam?
en-AS_328	What is the average length of a semester in terms of weeks of teaching at universities in Assam? (Provide Arabic numerals (e.g., 1) only.)
en-AS_329	Which airport in Assam is the busiest during the holiday season?
en-AS_330	Which region of Assam is well known for its theatrical performances?
en-AS_331	What is the most famous historic landmark in Assam?
en-AS_332	What is the most famous hotel brand in Assam?
en-AS_333	What is the most popular grab-and-go breakfast option in Assam?
en-AS_334	What is the most popular food in Assam among young people?
en-AS_335	What type of alcoholic drink is most commonly consumed at festivals in Assam?
en-AS_336	What is the most common morning drink in Assam?
en-AS_337	What is the most popular traditional dessert in Assam?
en-AS_338	What is the most popular racket sport in Assam?
en-AS_339	What is the most popular track and field sport in Assam?
en-AS_340	Which international sporting event is the most popular in Assam?
en-AS_341	How long (in minutes) are typical work breaks in Assam, excluding lunch and dinner breaks? (Provide Arabic numerals (e.g., 1) only.)
en-AS_342	Which job is considered underpaid in Assam?
en-AS_343	What is the most common food served during Easter in Assam?
en-AS_344	What is the most popular music genre among the elderly population in Assam?
en-AS_345	What drink is usually offered at funerals in Assam?
en-AS_346	What drink is usually offered at weddings in Assam?
en-AS_347	What food originated from Assam and can be found all over the world?
en-AS_348	What food is typically disliked by children but enjoyed by the elderly in Assam?
en-AS_349	What cooking utensil is most commonly used in Assam?
en-AS_350	Which is the most popular vegetable in Assam?
en-AS_351	Which animal is used for sports in Assam?
en-AS_352	What is the most popular wedding venue in Assam?
en-AS_353	Which coffee shop brand is the most popular in Assam?
en-AS_354	What type of food from Assam is typically served in restaurants overseas?
en-AS_355	What region in Assam is usually associated with mining?
en-AS_356	What region in Assam is usually associated with oil?
en-AS_357	What university in Assam is popular because of its engineering major? (Provide the official name.)
en-AS_358	What university in Assam is popular because of its school of medicine? (Provide the official name.)
en-AS_359	What is the most popular payment method in Assam?
en-AS_360	What is the most famous theme park in Assam?
en-AS_361	What is the most popular children's animation that is commonly watched by kids in Assam?
en-AS_362	What is the most popular prenatal education activity for pregnant women in Assam?
en-AS_363	What is the most popular children's song in Assam that families sing together?
en-AS_364	Which toys are most popular among boys in Assam?
en-AS_365	Which toys are most popular among girls in Assam?
en-AS_366	What is the most popular folk tale in Assam that is typically told to children?
en-AS_367	What is the customary symbol of condolence used at funerals in Assam?
en-AS_368	Where do university students in Assam tend to work part-time the most?
en-AS_369	What are the most frequently practiced team-building activities in companies based in Assam?
en-AS_370	What are the most common activities people do as a side job in Assam?
en-AS_371	What is the most famous edible souvenir for tourists in Assam?
en-AS_372	What is the most popular stew in Assam?
en-AS_373	What is the most common spice/herb used in dishes from Assam?
en-AS_374	What is the most famous traditional sport in Assam?
en-AS_375	What sport is popular to play on the beach in Assam?
en-AS_376	What is the usual work schedule during the month of Ramadan in Assam?
en-AS_377	When is Student's Day celebrated in Assam? (Provide in MM/DD format (e.g., 12/31).)
en-AS_378	Where do families gather to pray together in Assam?
en-AS_379	What gifts do fathers get on Father's Day (or Parents' Day) in Assam?
en-AS_380	What gifts do mothers get on Mother's Day (or Parents' Day) in Assam?
en-AS_381	How many generations typically live together in a household in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_382	How many subjects are taught in middle schools in Assam? (Provide Arabic numerals (e.g., 12) only.)
en-AS_383	What is the most popular after school curriculars in elementary schools in Assam?
